username,mood_colour,mood_emoji,weather,health,diary,created_at

test,red,😁,☀️,Excellent,Feeling on top of the world today!,2024-03-01
test,orange,☺️,🌦️,Good,A day filled with positivity and productivity.,2024-03-02
test,yellow,😍,☁️,So so,Enjoyed some leisure time indoors.,2024-03-03
test,green,🥰,⛈️,Not well,Feeling a bit under the weather but staying cozy.,2024-03-04
test,cyan,😉,🌧️,Good,Productive day despite the gloomy weather.,2024-03-05
test,blue,😋,❄️,Excellent,Chilled Sunday at home with a warm cup of cocoa.,2024-03-06
test,purple,😎🤩,🌨️,Super bad,Suffering from a severe cold and taking it easy.,2024-03-07
test,red,🥳,⛈️,Not well,A day of rest and recovery.,2024-03-08
test,orange,🤪,🌤,Good,Feeling a bit quirky today but in a good way.,2024-03-09
test,yellow,😝,🌧️,So so,Dealing with some mixed emotions.,2024-03-10
test,green,😂,❄️,Excellent,Had a good laugh today but laughter is the best medicine.,2024-03-11
test,cyan,🥲,🌦️,Good,Reflecting on the day and feeling content.,2024-03-12
test,blue,😒,☀️,Not well,Struggling with a headache but taking it easy.,2024-03-13
test,purple,😖,🌤,Super bad,A challenging day and feeling overwhelmed.,2024-03-14
test,red,😫,🌧️,So so,Coping with stress and looking forward to a better tomorrow.,2024-03-15
test,orange,🥺,⛈️,Excellent,Seeking comfort indoors and self-care.,2024-03-16
test,yellow,😤,🌨️,Good,A bit frustrated but staying positive.,2024-03-17
test,green,😭,☁️,Not well,A day of emotional ups and downs.,2024-03-18
test,cyan,😡,☀️,So so,Dealing with irritations and trying to stay calm.,2024-03-19
test,blue,🤬,⛈️,Excellent,A day to let off steam and reset.,2024-03-20
test,purple,🤯,🌧️,Good,Feeling a bit overwhelmed and taking a break.,2024-03-21
test,red,😳,❄️,Not well,Surprised by some news and need time to process.,2024-03-22
test,orange,😱,🌨️,Super bad,A day of unexpected challenges and feeling stressed.,2024-03-23
test,yellow,😰,🌤,So so,Cautiously optimistic about the day ahead.,2024-03-24
test,green,😵‍,⛈️,Excellent,A bit dizzy today and taking it easy.,2024-03-25
test,cyan,😴,🌦️,Good,A day of rest and relaxation.,2024-03-26
test,blue,😁,☁️,Not well,Despite the clouds I am finding reasons to smile.,2024-03-27
test,purple,☺️,❄️,So so,Reflecting on the week and feeling okay.,2024-03-28
test,red,😍,☀️,Good,Enjoyed a sunny day outdoors and lifted my spirits.,2024-03-29
test,orange,🥰,⛈️,Not well,Struggling with health issues and seeking comfort.,2024-03-30
test,yellow,😉,🌨️,Super bad,Enduring a tough day but looking forward to a new start.,2024-03-31
test,orange,😎,☀️,Excellent,Nice,2024-03-13
test,red,😎,🌤,Good,Good,2024-03-13
test,yellow,😒,☀️,Good,Good,2024-03-13
