"username","mood_colour","mood_emoji","weather","health","diary","created_at","recipe_choice"
"user1","red","😁","☀️","Excellent","Feeling on top of the world today!","2024-03-01","red01.jpg"
"user2","orange","☺️","🌦️","Good","A day filled with positivity and productivity.","2024-03-01","orange01.jpg"
"user2","yellow","😍","☁️","So so","Enjoyed some leisure time indoors.","2024-03-02","yellow02.jpg"
"user2","green","🥰","⛈️","Not well","Feeling a bit under the weather but staying cozy.","2024-03-02","green02.jpg"
"user1","cyan","😉","🌧️","Good","Productive day despite the gloomy weather.","2024-03-03","cyan03.jpg"
"user2","blue","😋","❄️","Excellent","Chilled Sunday at home with a warm cup of cocoa.","2024-03-03","blue02.jpg"
"user1","purple","😎🤩","🌨️","Super bad","Suffering from a severe cold and taking it easy.","2024-03-04","purple02.jpg"
"user2","red","🥳","⛈️","Not well","A day of rest and recovery.","2024-03-04","red02.jpg"
"user1","orange","🤪","🌤","Good","Feeling a bit quirky today but in a good way.","2024-03-05","orange03.jpg"
"user2","yellow","😝","🌧️","So so","Dealing with some mixed emotions.","2024-03-06","yellow03.jpg"
"user1","green","😂","❄️","Excellent","Had a good laugh today but laughter is the best medicine.","2024-03-06","green02.jpg"
"user2","cyan","🥲","🌦️","Good","Reflecting on the day and feeling content.","2024-03-07","cyan02.jpg"
"user1","blue","😒","☀️","Not well","Struggling with a headache but taking it easy.","2024-03-07","blue02.jpg"
"user2","purple","😖","🌤","Super bad","A challenging day and feeling overwhelmed.","2024-03-08","purple01.jpg"
"user1","red","😫","🌧️","So so","Coping with stress and looking forward to a better tomorrow.","2024-03-08","red02.jpg"
"user2","orange","🥺","⛈️","Excellent","Seeking comfort indoors and self-care.","2024-03-09","orange03.jpg"
"user1","yellow","😤","🌨️","Good","A bit frustrated but staying positive.","2024-03-09","yellow02.jpg"
"user2","green","😭","☁️","Not well","A day of emotional ups and downs.","2024-03-10","green02.jpg"
"user1","cyan","😡","☀️","So so","Dealing with irritations and trying to stay calm.","2024-03-10","cyan02.jpg"
"user2","blue","🤬","⛈️","Excellent","A day to let off steam and reset.","2024-03-11","blue02.jpg"
"user1","purple","🤯","🌧️","Good","Feeling a bit overwhelmed and taking a break.","2024-03-11","purple02.jpg"
"user2","red","😳","❄️","Not well","Surprised by some news and need time to process.","2024-03-12","red03.jpg"
"user1","orange","😱","🌨️","Super bad","A day of unexpected challenges and feeling stressed.","2024-03-12","orange02.jpg"
"user2","yellow","😰","🌤","So so","Cautiously optimistic about the day ahead.","2024-03-13","yellow0e.jpg"
"user1","green","😵‍","⛈️","Excellent","A bit dizzy today and taking it easy.","2024-03-13","green02.jpg"
"user2","cyan","😴","🌦️","Good","A day of rest and relaxation.","2024-03-14","cyan02.jpg"
"user3","orange","😖","🌤","So so","I am feeling really good. Because I almost finished my tech basic project.","2024-03-14","orange03.jpg"
"user4","red","😖","🌤","So so","Well, it is the deadline tmr, I think I can make it.","2024-03-14","red01.jpg"
"user1","orange","😖","🌤","So so","I still have some assignment to do.","2024-03-14","orange03.jpg"
"user5","green","😎","☁️","Good","Today it is warm and I enjoy Thursday.","2024-03-14","green02.jpg"

