username,mood_colour,mood_emoji,weather,health,diary,created_at,recipe_choice
test,red,😁,☀️,Excellent,Feeling on top of the world today!,2024-03-01,red01.jpg
test,orange,☺️,🌦️,Good,A day filled with positivity and productivity.,2024-03-02,orange01.jpg
test,yellow,😍,☁️,So so,Enjoyed some leisure time indoors.,2024-03-03,yellow02.jpg
test,green,🥰,⛈️,Not well,Feeling a bit under the weather but staying cozy.,2024-03-04,green02.jpg
test,cyan,😉,🌧️,Good,Productive day despite the gloomy weather.,2024-03-05,cyan03.jpg
test,blue,😋,❄️,Excellent,Chilled Sunday at home with a warm cup of cocoa.,2024-03-06,blue02.jpg
test,purple,😎🤩,🌨️,Super bad,Suffering from a severe cold and taking it easy.,2024-03-07,purple02.jpg
test,red,🥳,⛈️,Not well,A day of rest and recovery.,2024-03-08,red02.jpg
test,orange,🤪,🌤,Good,Feeling a bit quirky today but in a good way.,2024-03-09,orange03.jpg
test,yellow,😝,🌧️,So so,Dealing with some mixed emotions.,2024-03-10,yellow03.jpg
test,green,😂,❄️,Excellent,Had a good laugh today but laughter is the best medicine.,2024-03-11,green02.jpg
test,cyan,🥲,🌦️,Good,Reflecting on the day and feeling content.,2024-03-12,cyan02.jpg
test,blue,😒,☀️,Not well,Struggling with a headache but taking it easy.,2024-03-13,blue02.jpg
test,purple,😖,🌤,Super bad,A challenging day and feeling overwhelmed.,2024-03-14,purple01.jpg
test,red,😫,🌧️,So so,Coping with stress and looking forward to a better tomorrow.,2024-03-15,red02.jpg
test,orange,🥺,⛈️,Excellent,Seeking comfort indoors and self-care.,2024-03-16,orange03.jpg
test,yellow,😤,🌨️,Good,A bit frustrated but staying positive.,2024-03-17,yellow02.jpg
test,green,😭,☁️,Not well,A day of emotional ups and downs.,2024-03-18,green02.jpg
test,cyan,😡,☀️,So so,Dealing with irritations and trying to stay calm.,2024-03-19,cyan02.jpg
test,blue,🤬,⛈️,Excellent,A day to let off steam and reset.,2024-03-20,purple02.jpg
test,purple,🤯,🌧️,Good,Feeling a bit overwhelmed and taking a break.,2024-03-21,red02.jpg
test,red,😳,❄️,Not well,Surprised by some news and need time to process.,2024-03-22,red03.jpg
test,orange,😱,🌨️,Super bad,A day of unexpected challenges and feeling stressed.,2024-03-23,orange02.jpg
test,yellow,😰,🌤,So so,Cautiously optimistic about the day ahead.,2024-03-24,yellow0e.jpg
test,green,😵‍,⛈️,Excellent,A bit dizzy today and taking it easy.,2024-03-25,green02.jpg
test,cyan,😴,🌦️,Good,A day of rest and relaxation.,2024-03-26,cyan02.jpg
test,blue,😁,☁️,Not well,Despite the clouds I am finding reasons to smile.,2024-03-27,blue01.jpg
test,purple,☺️,❄️,So so,Reflecting on the week and feeling okay.,2024-03-28,purple03.jpg
test,red,😍,☀️,Good,Enjoyed a sunny day outdoors and lifted my spirits.,2024-03-29,orange02.jpg
test,orange,🥰,⛈️,Not well,Struggling with health issues and seeking comfort.,2024-03-30,orange01.jpg
test,yellow,😉,🌨️,Super bad,Enduring a tough day but looking forward to a new start.,2024-03-31,yellow02.jpg

